x_axis,channel_2,channel_4
-4.9921875,0.0503078,-0.001608
-4.9914063,0.060358,-0.000804
-4.990625,0.0623681,-0.000804
-4.9898438,0.060358,-0.000804
-4.9890625,0.060358,-0.000804
-4.9882813,0.0623681,-0.000804
-4.9875,0.0563379,-0.000804
-4.9867188,0.0543279,-0.000804
-4.9859375,0.058348,-0.000804
-4.9851563,0.0543279,-0.001608
-4.984375,0.0663882,-0.000804
-4.9835938,0.0543279,-0.001608
-4.9828125,0.060358,-0.000804
-4.9820313,0.0543279,-0.000804
-4.98125,0.058348,-0.000804
-4.9804688,0.0543279,-0.000804
-4.9796875,0.058348,-0.0
-4.9789063,0.0523178,-0.000804
-4.978125,0.0523178,-0.000804
-4.9773437,0.0563379,-0.000804
-4.9765625,0.058348,-0.000804
-4.9757812,0.058348,-0.000804
-4.975,0.058348,-0.000804
-4.9742187,0.0543279,-0.001608
-4.9734375,0.0563379,-0.000804
-4.9726562,0.0563379,-0.000804
-4.971875,0.0563379,-0.000804
-4.9710937,0.0563379,-0.000804
-4.9703125,0.0623681,-0.000804
-4.9695312,0.058348,-0.000804
-4.96875,0.058348,-0.000804
-4.9679687,0.058348,-0.000804
-4.9671875,0.0623681,0.0
-4.9664062,0.058348,-0.0
-4.965625,0.058348,-0.001608
-4.9648437,0.0563379,-0.000804
-4.9640625,0.058348,-0.001608
-4.9632812,0.058348,-0.000804
-4.9625,0.0563379,-0.000804
-4.9617187,0.0543279,-0.000804
-4.9609375,0.058348,0.0
-4.9601562,0.0563379,-0.0
-4.959375,0.0543279,-0.000804
-4.9585937,0.0543279,-0.0
-4.9578125,0.0503078,-0.000804
-4.9570312,0.0523178,-0.000804
-4.95625,0.0503078,-0.000804
-4.9554687,0.0563379,-0.000804
-4.9546875,0.0563379,-0.000804
-4.9539062,0.058348,-0.000804
-4.953125,0.060358,-0.000804
-4.9523437,0.0543279,-0.001608
-4.9515625,0.0543279,-0.000804
-4.9507812,0.060358,-0.0
-4.95,0.058348,-0.000804
-4.9492187,0.0563379,-0.000804
-4.9484375,0.060358,-0.000804
-4.9476562,0.060358,-0.000804
-4.946875,0.0543279,-0.000804
-4.9460937,0.058348,-0.000804
-4.9453125,0.0523178,-0.000804
-4.9445312,0.0523178,-0.0
-4.94375,0.060358,-0.001608
-4.9429687,0.0543279,-0.000804
-4.9421875,0.060358,-0.001608
-4.9414062,0.0503078,-0.001608
-4.940625,0.0482977,-0.001608
-4.9398437,0.0503078,-0.000804
-4.9390625,0.0563379,-0.000804
-4.9382812,0.0563379,-0.000804
-4.9375,0.0543279,-0.000804
-4.9367187,0.0543279,-0.000804
-4.9359375,0.0503078,-0.000804
-4.9351562,0.0563379,-0.000804
-4.934375,0.058348,-0.000804
-4.9335937,0.060358,-0.0
-4.9328125,0.0563379,-0.000804
-4.9320312,0.060358,0.0
-4.93125,0.058348,-0.0
-4.9304687,0.060358,-0.000804
-4.9296875,0.060358,-0.000804
-4.9289062,0.0543279,-0.000804
-4.928125,0.0563379,-0.0024121
