x_axis,channel_2
-4.949219,(0.048444354361736656+5.564259042122923e-18j)
-4.945313,(0.01793310183502581+4.222483977831471e-18j)
-4.941406,(0.002902643032606127+7.555015106898201e-18j)
-4.9375,(0.0017763870935919963+3.5926711925518085e-18j)
-4.933594,(0.00538205599063426+1.873008457092559e-18j)
-4.929688,(0.006352881438492469+1.8018122291913798e-18j)
-4.925781,(0.0042708865898858995-6.229669941353175e-19j)
-4.921875,(0.002920584126519994+5.693385951252037e-18j)
-4.917969,(0.004487895933768856+2.9103190398640306e-18j)
-4.914063,(0.00728494471706034+5.033471490159516e-18j)
-4.910156,(0.008265141407507285+4.167411663507652e-18j)
-4.90625,(0.00642437135889187+5.5636995951804094e-18j)
-4.902344,(0.003455337776013739+3.907245064743596e-18j)
-4.898438,(0.001821304778229799+4.177248183123927e-18j)
-4.894531,(0.0027123834426442074+9.675829785567556e-18j)
-4.890625,(0.005464599261830175+7.599814477779192e-18j)
-4.886719,(0.00826219803244581+7.356612605280849e-18j)
-4.882813,(0.009367385645529068+7.040726341116061e-18j)
-4.878906,(0.00827781022896255+7.094442968934564e-18j)
-4.875,(0.0061270476755441545+2.7408781309575822e-18j)
-4.871094,(0.0048005996289257665+2.9443091031060582e-18j)
-4.867188,(0.005318223879148593+6.035846112738039e-18j)
-4.863281,(0.007020032273807537+4.425623361748561e-18j)
-4.859375,(0.008411987020484091+3.964148412025218e-18j)
-4.855469,(0.008668542388401363+4.886448310101545e-18j)
-4.851563,(0.008097199593290702+3.7998022703805586e-18j)
-4.847656,(0.0073058791184041+3.4198801485675116e-18j)
-4.84375,(0.006435508366518268+3.800317688924452e-18j)
-4.839844,(0.005439617586787635+4.690387097789036e-18j)
-4.835938,(0.004701265951761728+3.4486488896296644e-18j)
-4.832031,(0.004813097226929697+4.486075836566807e-19j)
-4.828125,(0.005749869932924613+4.837791334876065e-18j)
-4.824219,(0.006743854177911364+3.4233898369370588e-18j)
-4.820313,(0.007209789336475184+2.3077072632252993e-18j)
-4.816406,(0.007447679339103075+5.989131590399995e-18j)
-4.8125,(0.008063214403076996+7.032173028059314e-18j)
-4.808594,(0.008905944597935563+5.990551105742471e-18j)
-4.804688,(0.009118339480977669+4.389219880739774e-18j)
-4.800781,(0.008340980419471691+7.062047495420316e-18j)
-4.796875,(0.007392769303382282+6.288737284548963e-18j)
-4.792969,(0.00738143748178411+5.201889018068587e-18j)
-4.789063,(0.008376554492964023+8.094229082004677e-18j)
-4.785156,(0.009404002602173738+7.20881740649817e-18j)
-4.78125,(0.009690252970427004+3.913903781691169e-18j)
-4.777344,(0.009415627971075232+3.526518411942596e-18j)
-4.773438,(0.00908871293178925+5.4447334967577376e-18j)
-4.769531,(0.008704454072076002+5.1807425456706335e-18j)
-4.765625,(0.0080475356793446+4.490347014878914e-18j)
-4.761719,(0.00758700919712683+3.1312586498966493e-18j)
-4.757813,(0.008316976105066586+4.332358619802218e-18j)
-4.753906,(0.01040837200083334+1.058110048986357e-18j)
-4.75,(0.012512126110988477+5.966450665555487e-19j)
-4.746094,(0.012968317687680678+3.078301457627251e-18j)
-4.742188,(0.011618917225453891+4.324513043524692e-18j)
-4.738281,(0.00995244350148938+7.022853780669068e-18j)
-4.734375,(0.00940778525248272+4.2847431938006964e-18j)
-4.730469,(0.010013658057451085+4.348297633153746e-18j)
-4.726563,(0.010932863535307919+2.042812745758493e-18j)
-4.722656,(0.011841892751849386-3.7420378121069926e-19j)
-4.71875,(0.013122355520742056-1.4385584918061245e-18j)
-4.714844,(0.014787892283135637-8.747091605116541e-19j)
-4.710938,(0.01598198860102222-9.923892334674908e-19j)
-4.707031,(0.015980417304901306-4.790872661601135e-18j)
-4.703125,(0.015303778414649255-2.9633702520461375e-18j)
-4.699219,(0.015260595689906047-2.1034701901606647e-18j)
-4.695313,(0.016455143125508703-2.7642601192384985e-18j)
-4.691406,(0.018276535800765603-2.5333735775262374e-18j)
-4.6875,(0.019955492206293356-2.971249648353654e-18j)
-4.683594,(0.021523235749379945-5.525594827192376e-18j)
-4.679688,(0.0232611384557508-8.161290837120531e-18j)
-4.675781,(0.024643574014857353-8.406213761912434e-18j)
-4.671875,(0.024738636488751384-7.6021274463721e-18j)
-4.667969,(0.023924627881781294-9.531690216576104e-18j)
-4.664063,(0.024508917906769758-5.396937134156707e-18j)
-4.660156,(0.028828736228300445-8.791109514663892e-18j)
-4.65625,(0.03666324213098294-8.158638486245425e-18j)
-4.652344,(0.045004607684710256-9.113581252167768e-18j)
-4.648438,(0.05064816829540301-9.538581935835264e-18j)
-4.644531,(0.052850160794059506-1.1315752725960807e-17j)
-4.640625,(0.053389691948131056-1.1022514142423195e-17j)
-4.636719,(0.05439538701581504-9.451940709395933e-18j)
-4.632813,(0.056437446000120906-1.2070303080242797e-17j)
-4.628906,(0.05847654547764506-1.1748440894239813e-17j)
-4.625,(0.05908608802780138-1.3585275307025924e-17j)
-4.621094,(0.057605376128950975-1.3610819282629102e-17j)
-4.617188,(0.05463593271652834-1.502320430187757e-17j)
-4.613281,(0.051863840266643264-1.3555782590371751e-17j)
-4.609375,(0.051112044260947787-9.689090791645449e-18j)
-4.605469,(0.052891467308462774-8.545508213816561e-18j)
-4.601563,(0.05567584486074763-7.016362041359719e-18j)
-4.597656,(0.057051827256963596-1.0069704285494301e-17j)
-4.59375,(0.056007958162496936-9.780086869936037e-18j)
-4.589844,(0.05394677092229992-1.0428341051056787e-17j)
-4.585938,(0.05306047118552239-8.842387096607127e-18j)
-4.582031,(0.05375178863121978-3.84505073615532e-18j)
-4.578125,(0.05414615337206549-8.579372569287927e-19j)
-4.574219,(0.05247880515998429+1.602979709172623e-18j)
-4.570313,(0.049773595853332166-2.8834580945507448e-18j)
-4.566406,(0.04974247281088201-2.1732114512921843e-18j)
-4.5625,(0.055757654008435645-4.650170536507237e-18j)
-4.558594,(0.06771970902137302-2.769008615497723e-18j)
-4.554688,(0.08164941752102794-1.5716376288237308e-18j)
-4.550781,(0.09236328151840782+1.191827953503732e-18j)
-4.546875,(0.09721929922412241+1.4332875753834779e-18j)
-4.542969,(0.09820134833469205-3.375386591533571e-18j)
-4.539063,(0.1005302598703571-3.842707923095572e-18j)
-4.535156,(0.10821958840657478-6.353232991726554e-18j)
-4.53125,(0.11977136094956815-3.192901560903132e-18j)
-4.527344,(0.1282404261571695-5.3631748296152935e-18j)
-4.523438,(0.126857580953957+8.40774508780723e-19j)
-4.519531,(0.11577484661688646+1.4001295626674828e-18j)
-4.515625,(0.10304945710525273-1.4418377253878529e-18j)
-4.511719,(0.09779348422076686-2.707867320106288e-18j)
-4.507813,(0.10167813871813683-5.9094596713615826e-18j)
-4.503906,(0.10761576156015781-4.031773519264383e-18j)
-4.5,(0.10742801009081543-7.989090905956828e-18j)
-4.496094,(0.10059194602754466-1.6550161605232566e-18j)
-4.492188,(0.09464219185183484+1.798432643368565e-18j)
-4.488281,(0.09667878173479898+1.1515799364428486e-18j)
-4.484375,(0.10505913128753448+8.771097011674479e-19j)
-4.480469,(0.11011672620378925-1.3861212778615558e-18j)
-4.476563,(0.10311756493764589-3.18684991090999e-19j)
-4.472656,(0.0843234395919433-4.719177298021403e-18j)
-4.46875,(0.0625504316330979+7.42863196318178e-19j)
-4.464844,(0.047443916454271026+2.860780618567783e-18j)
-4.460938,(0.04219077101928788+5.513501097094809e-19j)
-4.457031,(0.04274790175866194-1.45035298144891e-18j)
-4.453125,(0.04294738633586283-4.02423089800569e-18j)
-4.449219,(0.04007510165607452-2.3582467246795877e-18j)
-4.445313,(0.03626680901836011-7.343781892163089e-18j)
-4.441406,(0.03537062824568309-2.0935299751288894e-18j)
-4.4375,(0.03866445347664477+1.7739207548123167e-18j)
-4.433594,(0.043341468099274603+1.2197605760192943e-19j)
-4.429688,(0.044999594112829534-1.1012970908660367e-18j)
-4.425781,(0.04172211959012669-3.544853480921375e-18j)
-4.421875,(0.03583357834602356-2.28924107534679e-18j)
-4.417969,(0.0316420681475289-3.880780862419873e-18j)
