x_axis,channel_2,4
-4.988281,2.4e-05,+4.646435E+00
-4.984375,4e-06,+4.646435E+00
-4.980469,4e-06,+4.646435E+00
-4.976563,1.4e-05,+4.646435E+00
-4.972656,2.4e-05,+4.646435E+00
-4.96875,2.4e-05,+4.646435E+00
-4.964844,1.4e-05,+4.646435E+00
-4.960938,1.4e-05,+4.646435E+00
-4.957031,4e-06,+4.646435E+00
-4.953125,4e-06,+4.646435E+00
-4.949219,1.4e-05,+4.646435E+00
-4.945313,4e-06,+4.646435E+00
-4.941406,2.4e-05,+4.646435E+00
-4.9375,2.4e-05,+4.646435E+00
-4.933594,2.4e-05,+4.646435E+00
-4.929688,3.4e-05,+4.646435E+00
-4.925781,1.4e-05,+4.646435E+00
-4.921875,2.4e-05,+4.646435E+00
-4.917969,1.4e-05,+4.646435E+00
-4.914063,2.4e-05,+4.646435E+00
-4.910156,1.4e-05,+4.646435E+00
-4.90625,-6e-06,+4.646435E+00
-4.902344,-6e-06,+4.646435E+00
-4.898438,4e-06,+4.646435E+00
-4.894531,4e-06,+4.646435E+00
-4.890625,1.4e-05,+4.646435E+00
-4.886719,1.4e-05,+4.646435E+00
-4.882813,4e-06,+4.646435E+00
-4.878906,4e-06,+4.646435E+00
-4.875,-6e-06,+4.646435E+00
-4.871094,4e-06,+4.646435E+00
-4.867188,-1.6e-05,+4.646435E+00
-4.863281,-1.6e-05,+4.646435E+00
-4.859375,-1.6e-05,+4.646435E+00
-4.855469,-6e-06,+4.646435E+00
-4.851563,4e-06,+4.646435E+00
-4.847656,-6e-06,+4.646435E+00
-4.84375,-1.6e-05,+4.646435E+00
-4.839844,-1.6e-05,+4.646435E+00
-4.835938,-6e-06,+4.646435E+00
-4.832031,4e-06,+4.646435E+00
-4.828125,-6e-06,+4.646435E+00
-4.824219,-2.6e-05,+4.646435E+00
-4.820313,-2.6e-05,+4.646435E+00
-4.816406,-1.6e-05,+4.646435E+00
-4.8125,4e-06,+4.646435E+00
-4.808594,-1.6e-05,+4.646435E+00
-4.804688,-2.6e-05,+4.646435E+00
-4.800781,-1.6e-05,+4.646435E+00
-4.796875,-2.6e-05,+4.646435E+00
-4.792969,-1.6e-05,+4.646435E+00
-4.789063,-1.6e-05,+4.646435E+00
-4.785156,-1.6e-05,+4.646435E+00
-4.78125,-1.6e-05,+4.646435E+00
-4.777344,-1.6e-05,+4.646435E+00
-4.773438,-1.6e-05,+4.646435E+00
-4.769531,-1.6e-05,+4.646435E+00
-4.765625,-1.6e-05,+4.646435E+00
-4.761719,-4.6e-05,+4.646435E+00
-4.757813,-3.6e-05,+4.646435E+00
-4.753906,-1.6e-05,+4.646435E+00
-4.75,-3.6e-05,+4.646435E+00
-4.746094,-3.6e-05,+4.646435E+00
-4.742188,-4.6e-05,+4.646435E+00
-4.738281,-3.6e-05,+4.646435E+00
-4.734375,-6e-06,+4.646435E+00
-4.730469,-2.6e-05,+4.646435E+00
-4.726563,-2.6e-05,+4.646435E+00
-4.722656,-3.6e-05,+4.646435E+00
-4.71875,-4.6e-05,+4.646435E+00
-4.714844,-4.6e-05,+4.646435E+00
-4.710938,-3.6e-05,+4.646435E+00
-4.707031,-4.6e-05,+4.646435E+00
-4.703125,-5.6e-05,+4.646435E+00
-4.699219,-4.6e-05,+4.646435E+00
-4.695313,-4.6e-05,+4.646435E+00
-4.691406,-4.6e-05,+4.646435E+00
-4.6875,-4.6e-05,+4.646435E+00
-4.683594,-5.6e-05,+4.646435E+00
-4.679688,-4.6e-05,+4.646435E+00
-4.675781,-2.6e-05,+4.646435E+00
-4.671875,-2.6e-05,+4.646435E+00
-4.667969,-3.6e-05,+4.646435E+00
-4.664063,-4.6e-05,+4.646435E+00
-4.660156,-4.6e-05,+4.646435E+00
-4.65625,-4.6e-05,+4.646435E+00
-4.652344,-4.6e-05,+4.646435E+00
-4.648438,-3.6e-05,+4.646435E+00
-4.644531,-3.6e-05,+4.646435E+00
-4.640625,-2.6e-05,+4.646435E+00
-4.636719,-2.6e-05,+4.646435E+00
-4.632813,-2.6e-05,+4.646435E+00
-4.628906,-2.6e-05,+4.646435E+00
-4.625,-3.6e-05,+4.646435E+00
-4.621094,-2.6e-05,+4.646435E+00
-4.617188,-4.6e-05,+4.646435E+00
-4.613281,-4.6e-05,+4.646435E+00
-4.609375,-6.6e-05,+4.646435E+00
-4.605469,-7.6e-05,+4.646435E+00
-4.601563,-6.6e-05,+4.646435E+00
-4.597656,-6.6e-05,+4.646435E+00
-4.59375,-5.6e-05,+4.646435E+00
-4.589844,-5.6e-05,+4.646435E+00
-4.585938,-6.6e-05,+4.646435E+00
-4.582031,-5.6e-05,+4.646435E+00
-4.578125,-4.6e-05,+4.646435E+00
-4.574219,-4.6e-05,+4.646435E+00
